GCA.014526335.2	Chrysaora_pacifica*
GCF.021130785.1	Graphocephala_coccinea**
GCA.964019055.1	Anthopleura_xanthogrammica
GCF.030347505.1	Rhynchophorus_cruentatus*
GCA.032361705.1	Panulirus_versicolor
GCA.905147815.2	Phalera_bucephala
GCA.012295275.1	Chrysomallon_squamiferum
GCA.951509405.1	Mallophora_fautrix**
GCA.037127315.1	Ascarosepion_pfefferi*
GCA.949752735.1	Lumbricus_terrestris
GCA.907164885.2	Dolomedes_tenebrosus*
GCA.029582155.1	Siliqua_patula**
GCF.003227725.1	Camponotus_consobrinus*
GCA.964340945.1	Eunice_aphroditois**
GCA.029030555.1	Ornithoptera_alexandrae
GCA.023014485.1	Bathynomus_giganteus*
GCA.965235105.1	Pseudoceros_concinnus*
GCA.965247725.1	Sceliphron_caementarium**
GCF.001194135.2	Vampyroteuthis_infernalis**
GCF.038396675.1	Velella_velella**
GCA.000376725.2	Libellula_saturata**
GCA.032362205.1	Clione_limacina
GCA.002278615.1	Cicindela_albissima**
GCA.037379345.1	Perna_canaliculus*
GCA.949358305.1	Scutigera_coleoptrata**
GCA.034508935.3	Joruna_parva**
GCF.043290135.1	Dermacentor_variabilis**
GCA.020423425.1	Chrysopa_perla
GCA.037976565.1	Mesocentrotus_franciscanus
GCF.036711975.1	Anoplognathus_pallidicollis**
GCA.964340655.1	Acherontia_atropos**
GCF.000002865.3	Monosiga_brevicollis
GCF.000188695.1	Salpingoeca_rosetta
