GCA_014526335.2	Cqui	01	Chrysaora_quinquecirrha Chrysaora_pacifica* Schyphozoa  85
GCF_021130785.1	Hvit	02	Homalodisca_vitripennis Graphocephala_coccinea**	Cicadellidae    75
GCA_964019055.1	Axan	03	Anthopleura_xanthogrammica  Anthopleura_xanthogrammica	Anthozoa    40
GCF_030347505.1	Rfer	04	Rhynchophorus_ferrugineus   Rhynchophorus_cruentatus*	Coleoptera  90
GCA_032361705.1	Pver	05	Panulirus_versicolor    Panulirus_versicolor	Malacostraca    70
GCA_905147815.2	Pbuc	06	Phalera_bucephala   Phalera_bucephala	Lepidoptera 80
GCA_012295275.1	Csqu	07	Chrysomallon_squamiferum    Chrysomallon_squamiferum	Gastropoda  65
GCA_951509405.1	Mrus	08	Machimus_rusticus   Mallophora_fautrix**	Diptera 45
GCA_037127315.1	Aban	09	Ascarosepion_bandense   Ascarosepion_pfefferi*	Cephalopoda 80
GCA_949752735.1	Lter	10	Lumbricus_terrestris    Lumbricus_terrestris	Clitellata  95
GCA_907164885.2	Dpla	11	Dolomedes_plantarius    Dolomedes_tenebrosus*	Arachnida   75
GCA_029582155.1	Pgen	12	Panopea_generosa    Siliqua_patula**	Bivalvia    85
GCF_003227725.1	Cflo	13	Camponotus_floridanus   Camponotus_consobrinus*	Hymenoptera 90
GCA_964340945.1	Sspa	14	Sabella_spallanzanii    Eunice_aphroditois**	Polychaeta  20
GCA_029030555.1	Aale	15	Ornithoptera_alexandrae Ornithoptera_alexandrae	Lepidoptera 85
GCA_023014485.1	Bjam	16	Bathynomus_jamesi   Bathynomus_giganteus*	Isopoda 90
GCA_965235105.1	Pspl	17	Pseudobiceros_splendidus    Pseudoceros_concinnus*	Platyhelminthes 95
GCA_965247725.1	Apub	18	Ammophila_pubescens Sceliphron_caementarium**	Hymenoptera 85
GCF_001194135.2	Obim	19	Octopus_bimaculoides    Vampyroteuthis_infernalis**	Cephalopoda 80
GCF_038396675.1	Hvul	20	Hydra_vulgaris  Velella_velella**	Hydrozoa    65
GCA_000376725.2	Lful	21	Ladona_fulva    Libellula_saturata**	Odonata 40
GCA_032362205.1	Clim	22	Clione_limacina Clione_limacina	Gasteropoda 85
GCA_002278615.1	Pcha	23	Pogonus_chalceus    Cicindela_albissima**	Coleoptera  70
GCA_037379345.1	Pvir	24	Perna_viridis   Perna_canaliculus*	Bivalvia    75
GCA_949358305.1	Sacu	25	Strigamia_acuminata Scutigera_coleoptrata**	Chilopoda   NA
GCA_034508935.3	Bste	26	Berghia_stephanieae Joruna_parva**	Gastropoda  NA
GCF_043290135.1	Rmic	27	Rhipicephalus_microplus Dermacentor_variabilis**	Arachnida   NA
GCA_020423425.1	Cpal	28	Chrysopa_perla  Chrysopa_perla	Neuroptera  NA
GCA_037976565.1	Mfra	29	Mesocentrotus_franciscanus  Mesocentrotus_franciscanus	Echinodermata   NA
GCF_036711975.1	Otau	30	Onthophagus_taurus  Anoplognathus_pallidicollis** Coleoptera    NA
GCA_964340655.1	Aatr	31	Agrius_convolvuli   Acherontia_atropos**	Lepidoptera NA
