Lful	C:95.0%[S:94.3%,D:0.7%],F:3.5%,M:1.5%
Pcha	C:93.9%[S:92.6%,D:1.3%],F:3.2%,M:2.9%
Csqu	C:97.5%[S:96.6%,D:0.9%],F:1.4%,M:1.1%
Cqui	C:78.2%[S:62.6%,D:15.6%],F:9.3%,M:12.5%
Cpal	C:98.6%[S:97.7%,D:0.9%],F:0.5%,M:0.9%
Bjam	C:89.7%[S:74.4%,D:15.3%],F:6.1%,M:4.2%
Aale	C:98.9%[S:98.5%,D:0.4%],F:0.3%,M:0.8%
Pgen	C:93.3%[S:88.6%,D:4.7%],F:3.4%,M:3.3%
Pver	C:43.5%[S:43.1%,D:0.4%],F:38.4%,M:18.1%
Clim	C:25.2%[S:24.9%,D:0.3%],F:47.6%,M:27.2%
Bste	C:93.7%[S:92.8%,D:0.9%],F:2.6%,M:3.7%
Aban	C:96.3%[S:95.5%,D:0.8%],F:2.8%,M:0.9%
Pvir	C:96.9%[S:96.8%,D:0.1%],F:1.4%,M:1.7%
Mfra	C:97.2%[S:95.7%,D:1.5%],F:2.0%,M:0.8%
Pbuc	C:99.4%[S:98.1%,D:1.3%],F:0.2%,M:0.4%
Dpla	C:96.7%[S:94.0%,D:2.7%],F:1.6%,M:1.7%
Sacu	C:96.9%[S:92.0%,D:4.9%],F:1.5%,M:1.6%
Lter	C:91.7%[S:87.9%,D:3.8%],F:3.8%,M:4.5%
Mrus	C:99.7%[S:99.2%,D:0.5%],F:0.1%,M:0.2%
Axan	C:96.3%[S:96.1%,D:0.2%],F:1.7%,M:2.0%
Aatr	C:98.4%[S:98.2%,D:0.2%],F:0.6%,M:1.0%
Sspa	C:94.5%[S:94.1%,D:0.4%],F:3.6%,M:1.9%
Pspl	C:82.6%[S:81.4%,D:1.2%],F:6.0%,M:11.4%
Apub	C:97.9%[S:97.3%,D:0.6%],F:0.5%,M:1.6%
Obim	C:94.7%[S:94.3%,D:0.4%],F:3.0%,M:2.3%
Cflo	C:98.1%[S:96.9%,D:1.2%],F:0.7%,M:1.2%
Hvit	C:83.3%[S:73.2%,D:10.1%],F:8.5%,M:8.2%
Rfer	C:99.5%[S:98.8%,D:0.7%],F:0.1%,M:0.4%
Otau	C:97.2%[S:96.3%,D:0.9%],F:0.3%,M:2.5%
Hvul	C:93.1%[S:92.3%,D:0.8%],F:2.5%,M:4.4%
Rmic	C:94.7%[S:87.2%,D:7.5%],F:3.4%,M:1.9%
